epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,4.40477,0.935,1.40425,4.02282,0.98051,0,0.00333,1,0.01427,0.01126,0.00333,1,0.01427,0.01101,0.54962,0.67193,3.36981,0.79809,0,0.00014,0.00014,0.00014
2,6.61421,0.70427,0.69415,2.69973,0.85089,0,0.00333,1,0.01201,0.0099,0.00333,1,0.01201,0.01003,0.56344,0.68592,3.14419,0.77994,0,0.00029703,0.00029703,0.00029703
3,8.57548,0.70886,0.64223,1.69044,0.86882,0,0.00333,1,0.01391,0.01132,0.00333,1,0.01391,0.01243,0.55171,0.57191,3.13654,0.78138,0,0.000450892,0.000450892,0.000450892
4,10.6226,0.65676,0.61984,1.33702,0.84524,0,0.00333,1,0.01317,0.01021,0.00333,1,0.01317,0.01125,0.68331,0.5598,3.06297,0.78566,0,0.000601586,0.000601586,0.000601586
5,12.7242,0.65675,0.59359,1.24109,0.84928,0,0.00333,1,0.01089,0.00959,0.00333,1,0.01089,0.0093,0.58704,0.76876,3.09035,0.78193,0,0.000749112,0.000749112,0.000749112
6,14.7529,0.67876,0.51148,1.18383,0.84747,0,0.00333,1,0.00998,0.00839,0.00333,1,0.01613,0.00938,0.64084,0.84075,3.14028,0.78849,0,0.00089347,0.00089347,0.00089347
7,16.7178,0.63944,0.54777,1.11317,0.84276,0,0.00333,1,0.10325,0.09233,0.00333,1,0.10325,0.09201,0.65715,0.80813,3.19384,0.79254,0,0.00103466,0.00103466,0.00103466
8,18.712,0.63023,0.61523,1.09215,0.84013,0,0.00333,1,0.00856,0.00707,0.00333,1,0.00856,0.00663,0.71751,0.83658,3.30454,0.8154,0,0.00117268,0.00117268,0.00117268
9,20.7037,0.62359,0.50899,1.0678,0.84124,0,0.00333,1,0.1999,0.19675,0.00333,1,0.1999,0.16964,0.6496,0.81804,3.17939,0.80566,0,0.00130754,0.00130754,0.00130754
10,22.758,0.65829,0.50228,1.02425,0.85213,0,0.98958,0.63636,0.65094,0.51798,0.98958,0.63636,0.65094,0.5513,0.70251,0.89817,2.78857,0.81078,0,0.00143922,0.00143922,0.00143922
11,24.9763,0.64186,0.58071,1.05151,0.82386,0,1,0.24065,0.88221,0.73948,1,0.24065,0.88221,0.66059,0.66311,1.14982,2.55198,0.80125,0,0.00156774,0.00156774,0.00156774
12,27.0569,0.58912,0.49378,0.94539,0.83115,0,1,0.64194,0.995,0.84955,1,0.64194,0.995,0.81104,0.66184,1.07831,2.04983,0.80171,0,0.00169309,0.00169309,0.00169309
13,29.1094,0.58041,0.46558,0.93885,0.81799,0,1,0.82307,0.995,0.81914,1,0.82307,0.995,0.7524,0.70734,1.52653,1.6389,0.8018,0,0.0017624,0.0017624,0.0017624
14,31.0464,0.6214,0.50155,0.86037,0.83241,0,1,0.79667,0.995,0.8379,1,0.79667,0.995,0.68962,0.66805,2.01315,1.71777,0.80344,0,0.0017426,0.0017426,0.0017426
